TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name
19982271,0.86190796,4.960785,8.336609,0.86190796,4.960785,8.336609,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,736,192,0,0,0.425,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James
19982271,0.86190796,4.960785,8.336609,0.86190796,4.960785,8.336609,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,736,192,0,0,0.425,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James
19982412,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,671.8233,565.96906,-1796.0687,5730.2007,0.7,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James
19982529,0.6990967,4.917679,8.504196,0.6990967,4.917679,8.504196,0.6990967,4.917679,8.504196,0.25663757,0.0650177,0.3594513,0.25663757,0.0650177,0.3594513,0.25663757,0.0650177,0.3594513,347.57114,1137.1202,-3336.816,2629.644,0.7,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James
19982695,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,288.75232,878.29333,509.79352,-3996.118,0.7,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James
19982800,0.46446228,5.1379547,8.480255,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,297,721,0,0,0.7,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James
19983085,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,673,238,0,0,0.65000004,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James
19983085,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,673,238,0,0,0.65000004,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James
19983213,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,632.4729,612.6427,-251.5733,3656.083,0.65000004,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James
19983397,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,275.94495,1064.6361,-2910.9724,2783.748,0.65000004,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James
19983547,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,228.62946,871.4331,1187.42,-6729.8013,0.65000004,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James
19983685,0.4453125,5.008667,9.117111,14.263916,-6.3308716,-39.79492,14.263916,-6.3308716,-39.79492,0.26106262,0.08337402,0.37776184,0.26106262,0.08337402,0.37776184,0.26106262,0.08337402,0.37776184,275,630,0,0,0.2875,0.003921569,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James
19983865,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,759,181,0,0,0.375,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James
19983865,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,759,181,0,0,0.375,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James
19983981,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,684.43066,551.33264,-956.1866,6268.9414,0.8,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James
19984181,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,324.17007,1080.2828,-3660.8633,2247.6292,0.8,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James
19984348,0.48362732,5.281601,8.772354,0.48362732,5.281601,8.772354,0.48362732,5.281601,8.772354,0.48362732,5.281601,8.772354,-0.015258789,0.20649719,0.39593506,-0.015258789,0.20649719,0.39593506,258.56778,816.2189,1995.0697,-7404.2627,0.8,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James
